url,site,error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2Nzk1OTQzNTc0MjI0NDk5OjE3NDkwNDU3Nzc6c3BfbXRmOjMwMDc4ODQ4MDUwODQwMjo6MDo6&url=%2FBuild-Large-Language-Model-Scratch%2Fdp%2F1633437167%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A%26dib_tag%3Dse%26keywords%3DPlaywright%2BPython%26qid%3D1749045777%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2Nzk1OTQzNTc0MjI0NDk5OjE3NDkwNDU3Nzc6c3BfYnRmOjMwMDc5MjAwOTU4NTMwMjo6MDo6&url=%2FPython-Depth-Multipurpose-Coder-Programmers%2Fdp%2F1456654993%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A%26dib_tag%3Dse%26keywords%3DPlaywright%2BPython%26qid%3D1749045777%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2Nzk1OTQzNTc0MjI0NDk5OjE3NDkwNDU3Nzc6c3BfYnRmOjMwMDcxMjQwODMwMTQwMjo6MDo6&url=%2FGreenlight-Your-Tech-Career-Self-Taught%2Fdp%2F106854791X%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A%26dib_tag%3Dse%26keywords%3DPlaywright%2BPython%26qid%3D1749045777%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-1,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTI4OTU3NTY2MTU3NDoxNzQ5MDQ1NzgzOnNwX2F0ZjozMDAyNTg1MDU2MTM2MDI6OjA6Og&url=%2FGraph-Science-Python-Neo4j-Hands%2Fdp%2F8197081964%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc%26dib_tag%3Dse%26keywords%3DData%2BScience%2Bwith%2BPython%26qid%3D1749045783%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTI4OTU3NTY2MTU3NDoxNzQ5MDQ1NzgzOnNwX2F0ZjozMDA1Mzg1MDc0MzE4MDI6OjA6Og&url=%2FData-Science-Python-Wrangling-Visualization-ebook%2Fdp%2FB0DFT3S114%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc%26dib_tag%3Dse%26keywords%3DData%2BScience%2Bwith%2BPython%26qid%3D1749045783%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-4,amazon,Unknown error
https://www.amazon.com/Data-Science-Scratch-Principles-Python/dp/1492041130/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-5,amazon,Unknown error
https://www.amazon.com/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-6,amazon,Unknown error
https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Il0S9j6l-sn-ERn_W007kzYRIlooKKR0hqbOXhblqkkIWWNQK2FZh_OcowUQzwnQ6cuESepTtJTmoJQhi28dZV5FwKs5wMfB5hjC1e3Tciv7pEFYQrgU9Qciw_dSPGvtU2Gq7bpk_EMZuITgIEPJM59FRafQSay4GGEAMrAWi26sxdzk2zAIR6brp7EA3VbCaB_pCU4wOb-WthQ4-g4u40JghHdDpPQ4mOFamn9obm4.lUHXhaNtAkwpcvNsP7z2fwaeUz5pv99T9V82yrCRwfc&dib_tag=se&keywords=Data+Science+with+Python&qid=1749045783&sr=8-7,amazon,Unknown error
